Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,Adm,6,,,,,5,,,
2012,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,BERKELEY HIGH SCHOOL,Berkeley,Alameda,App,185,39,,20,,37,79,7,
2012,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Adm,41,8,,5,,8,17,3,
2012,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Enr,16,3,,,,5,5,,
2012,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,App,129,,,5,,29,75,9,6
2012,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,Adm,18,,,,,3,11,,
2012,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,Enr,4,,,,,,3,,
2012,BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,App,7,,,,,,,,
2012,BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,Adm,,,,,,,,,
2012,BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,Enr,,,,,,,,,
2012,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,App,30,6,,14,,,,,
2012,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,Adm,3,,,,,,,,
2012,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,Enr,,,,,,,,,
2012,BLAIR HIGH SCHOOL,Pasadena,Los Angeles,App,15,7,,,,,,,
2012,BLAIR HIGH SCHOOL,Pasadena,Los Angeles,Adm,,,,,,,,,
2012,BLAIR HIGH SCHOOL,Pasadena,Los Angeles,Enr,,,,,,,,,
2012,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,App,19,,,16,,,,,
